uid,day
003df5deff30e1e5a07b5d063fe85c3f,2017-10-13
003df5deff30e1e5a07b5d063fe85c3f,2017-10-14
003df5deff30e1e5a07b5d063fe85c3f,2017-10-16
003df5deff30e1e5a07b5d063fe85c3f,2017-10-23
003df5deff30e1e5a07b5d063fe85c3f,2017-10-31
003df5deff30e1e5a07b5d063fe85c3f,2017-11-07
003df5deff30e1e5a07b5d063fe85c3f,2017-11-10
003df5deff30e1e5a07b5d063fe85c3f,2017-11-18
003df5deff30e1e5a07b5d063fe85c3f,2017-11-19
003df5deff30e1e5a07b5d063fe85c3f,2017-11-28
003df5deff30e1e5a07b5d063fe85c3f,2017-12-09
003df5deff30e1e5a07b5d063fe85c3f,2017-12-14
003df5deff30e1e5a07b5d063fe85c3f,2017-12-17
003df5deff30e1e5a07b5d063fe85c3f,2017-12-29
003df5deff30e1e5a07b5d063fe85c3f,2018-01-06
003df5deff30e1e5a07b5d063fe85c3f,2018-01-08
003df5deff30e1e5a07b5d063fe85c3f,2018-01-18
003df5deff30e1e5a07b5d063fe85c3f,2018-01-26
003df5deff30e1e5a07b5d063fe85c3f,2018-01-30
003df5deff30e1e5a07b5d063fe85c3f,2018-02-09
003df5deff30e1e5a07b5d063fe85c3f,2018-02-11
003df5deff30e1e5a07b5d063fe85c3f,2018-02-20
003df5deff30e1e5a07b5d063fe85c3f,2018-02-25
003df5deff30e1e5a07b5d063fe85c3f,2018-03-10
003df5deff30e1e5a07b5d063fe85c3f,2018-03-13
003df5deff30e1e5a07b5d063fe85c3f,2018-03-20
003df5deff30e1e5a07b5d063fe85c3f,2018-03-27
003df5deff30e1e5a07b5d063fe85c3f,2018-04-06
003df5deff30e1e5a07b5d063fe85c3f,2018-04-13
003df5deff30e1e5a07b5d063fe85c3f,2018-04-19
003df5deff30e1e5a07b5d063fe85c3f,2018-04-22
003df5deff30e1e5a07b5d063fe85c3f,2018-05-01
003df5deff30e1e5a07b5d063fe85c3f,2018-05-11
003df5deff30e1e5a07b5d063fe85c3f,2018-05-17
003df5deff30e1e5a07b5d063fe85c3f,2018-05-21
003df5deff30e1e5a07b5d063fe85c3f,2018-05-29
003df5deff30e1e5a07b5d063fe85c3f,2018-06-06
003df5deff30e1e5a07b5d063fe85c3f,2018-06-13
003df5deff30e1e5a07b5d063fe85c3f,2018-06-23
003df5deff30e1e5a07b5d063fe85c3f,2018-06-27
003df5deff30e1e5a07b5d063fe85c3f,2018-07-04
003df5deff30e1e5a07b5d063fe85c3f,2018-07-11
003df5deff30e1e5a07b5d063fe85c3f,2018-08-08
003df5deff30e1e5a07b5d063fe85c3f,2018-08-14
003df5deff30e1e5a07b5d063fe85c3f,2018-08-25
003df5deff30e1e5a07b5d063fe85c3f,2018-08-26
003df5deff30e1e5a07b5d063fe85c3f,2018-09-02
003df5deff30e1e5a07b5d063fe85c3f,2018-09-13
003df5deff30e1e5a07b5d063fe85c3f,2018-09-19
003df5deff30e1e5a07b5d063fe85c3f,2018-09-23
003df5deff30e1e5a07b5d063fe85c3f,2018-10-04
003df5deff30e1e5a07b5d063fe85c3f,2018-10-10
003df5deff30e1e5a07b5d063fe85c3f,2018-10-15
003df5deff30e1e5a07b5d063fe85c3f,2018-10-19
003df5deff30e1e5a07b5d063fe85c3f,2018-10-23
003df5deff30e1e5a07b5d063fe85c3f,2018-10-29
003df5deff30e1e5a07b5d063fe85c3f,2018-11-10
003df5deff30e1e5a07b5d063fe85c3f,2018-11-13
003df5deff30e1e5a07b5d063fe85c3f,2018-11-18
003df5deff30e1e5a07b5d063fe85c3f,2018-12-01
003df5deff30e1e5a07b5d063fe85c3f,2018-12-06
003df5deff30e1e5a07b5d063fe85c3f,2018-12-14
003df5deff30e1e5a07b5d063fe85c3f,2018-12-22
003df5deff30e1e5a07b5d063fe85c3f,2018-12-26
003df5deff30e1e5a07b5d063fe85c3f,2019-01-01
003df5deff30e1e5a07b5d063fe85c3f,2019-01-10
003df5deff30e1e5a07b5d063fe85c3f,2019-01-14
003df5deff30e1e5a07b5d063fe85c3f,2019-01-25
003df5deff30e1e5a07b5d063fe85c3f,2019-01-27
003df5deff30e1e5a07b5d063fe85c3f,2019-02-04
003df5deff30e1e5a07b5d063fe85c3f,2019-02-10
003df5deff30e1e5a07b5d063fe85c3f,2019-02-23
003df5deff30e1e5a07b5d063fe85c3f,2019-02-25
003df5deff30e1e5a07b5d063fe85c3f,2019-03-03
003df5deff30e1e5a07b5d063fe85c3f,2019-03-16
003df5deff30e1e5a07b5d063fe85c3f,2019-03-17
003df5deff30e1e5a07b5d063fe85c3f,2019-03-29
003df5deff30e1e5a07b5d063fe85c3f,2019-04-02
003df5deff30e1e5a07b5d063fe85c3f,2019-04-07
003df5deff30e1e5a07b5d063fe85c3f,2019-04-18
003df5deff30e1e5a07b5d063fe85c3f,2019-04-22
003df5deff30e1e5a07b5d063fe85c3f,2019-04-28
003df5deff30e1e5a07b5d063fe85c3f,2019-05-17
003df5deff30e1e5a07b5d063fe85c3f,2019-05-19
003df5deff30e1e5a07b5d063fe85c3f,2019-05-30
003df5deff30e1e5a07b5d063fe85c3f,2019-06-05
003df5deff30e1e5a07b5d063fe85c3f,2019-06-14
003df5deff30e1e5a07b5d063fe85c3f,2019-07-24
003df5deff30e1e5a07b5d063fe85c3f,2019-07-29
003df5deff30e1e5a07b5d063fe85c3f,2019-08-04
003df5deff30e1e5a07b5d063fe85c3f,2019-08-17
003df5deff30e1e5a07b5d063fe85c3f,2019-08-19
003df5deff30e1e5a07b5d063fe85c3f,2019-08-27
003df5deff30e1e5a07b5d063fe85c3f,2019-09-07
003df5deff30e1e5a07b5d063fe85c3f,2019-09-14
003df5deff30e1e5a07b5d063fe85c3f,2019-09-21
003df5deff30e1e5a07b5d063fe85c3f,2019-09-28
003df5deff30e1e5a07b5d063fe85c3f,2019-10-02
003df5deff30e1e5a07b5d063fe85c3f,2019-10-12
003df5deff30e1e5a07b5d063fe85c3f,2019-10-13
0107c61e54459068bb83f6be2058d65d,2018-11-10
0107c61e54459068bb83f6be2058d65d,2018-11-13
0107c61e54459068bb83f6be2058d65d,2018-11-15
0107c61e54459068bb83f6be2058d65d,2018-11-16
0107c61e54459068bb83f6be2058d65d,2018-11-23
0107c61e54459068bb83f6be2058d65d,2018-11-30
0107c61e54459068bb83f6be2058d65d,2018-12-06
0107c61e54459068bb83f6be2058d65d,2018-12-08
0107c61e54459068bb83f6be2058d65d,2018-12-09
0107c61e54459068bb83f6be2058d65d,2018-12-14
0107c61e54459068bb83f6be2058d65d,2018-12-15
0107c61e54459068bb83f6be2058d65d,2018-12-18
0107c61e54459068bb83f6be2058d65d,2018-12-22
0107c61e54459068bb83f6be2058d65d,2018-12-25
0107c61e54459068bb83f6be2058d65d,2018-12-30
0107c61e54459068bb83f6be2058d65d,2019-01-02
0107c61e54459068bb83f6be2058d65d,2019-01-04
0107c61e54459068bb83f6be2058d65d,2019-01-07
0107c61e54459068bb83f6be2058d65d,2019-01-11
0107c61e54459068bb83f6be2058d65d,2019-01-14
0107c61e54459068bb83f6be2058d65d,2019-01-16
0107c61e54459068bb83f6be2058d65d,2019-01-26
0107c61e54459068bb83f6be2058d65d,2019-01-27
0107c61e54459068bb83f6be2058d65d,2019-01-31
0107c61e54459068bb83f6be2058d65d,2019-02-09
0107c61e54459068bb83f6be2058d65d,2019-02-16
0107c61e54459068bb83f6be2058d65d,2019-02-22
0107c61e54459068bb83f6be2058d65d,2019-02-23
0107c61e54459068bb83f6be2058d65d,2019-02-28
0107c61e54459068bb83f6be2058d65d,2019-03-02
0107c61e54459068bb83f6be2058d65d,2019-03-08
0107c61e54459068bb83f6be2058d65d,2019-03-13
0107c61e54459068bb83f6be2058d65d,2019-03-19
0107c61e54459068bb83f6be2058d65d,2019-04-01
0107c61e54459068bb83f6be2058d65d,2019-04-07
0107c61e54459068bb83f6be2058d65d,2019-04-20
0107c61e54459068bb83f6be2058d65d,2019-04-24
0107c61e54459068bb83f6be2058d65d,2019-04-27
0107c61e54459068bb83f6be2058d65d,2019-05-02
0107c61e54459068bb83f6be2058d65d,2019-05-04
0107c61e54459068bb83f6be2058d65d,2019-05-08
0107c61e54459068bb83f6be2058d65d,2019-05-10
0107c61e54459068bb83f6be2058d65d,2019-05-12
0107c61e54459068bb83f6be2058d65d,2019-05-14
0107c61e54459068bb83f6be2058d65d,2019-05-24
0107c61e54459068bb83f6be2058d65d,2019-06-01
0107c61e54459068bb83f6be2058d65d,2019-06-05
0107c61e54459068bb83f6be2058d65d,2019-06-14
0107c61e54459068bb83f6be2058d65d,2019-06-15
0107c61e54459068bb83f6be2058d65d,2019-06-22
0107c61e54459068bb83f6be2058d65d,2019-06-25
0107c61e54459068bb83f6be2058d65d,2019-08-26
0107c61e54459068bb83f6be2058d65d,2019-08-31
0107c61e54459068bb83f6be2058d65d,2019-09-04
0107c61e54459068bb83f6be2058d65d,2019-09-06
0107c61e54459068bb83f6be2058d65d,2019-09-12
0107c61e54459068bb83f6be2058d65d,2019-09-15
0107c61e54459068bb83f6be2058d65d,2019-09-21
0107c61e54459068bb83f6be2058d65d,2019-09-22
0107c61e54459068bb83f6be2058d65d,2019-09-26
0107c61e54459068bb83f6be2058d65d,2019-09-28
0107c61e54459068bb83f6be2058d65d,2019-10-04
0107c61e54459068bb83f6be2058d65d,2019-10-07
0107c61e54459068bb83f6be2058d65d,2019-10-09
0107c61e54459068bb83f6be2058d65d,2019-10-17
0107c61e54459068bb83f6be2058d65d,2019-10-23
0107c61e54459068bb83f6be2058d65d,2019-10-26
0107c61e54459068bb83f6be2058d65d,2019-11-02
0107c61e54459068bb83f6be2058d65d,2019-11-07
0107c61e54459068bb83f6be2058d65d,2019-11-09
0107c61e54459068bb83f6be2058d65d,2019-11-16
0107c61e54459068bb83f6be2058d65d,2019-11-21
0107c61e54459068bb83f6be2058d65d,2019-11-30
0107c61e54459068bb83f6be2058d65d,2019-12-03
0107c61e54459068bb83f6be2058d65d,2019-12-09
0107c61e54459068bb83f6be2058d65d,2019-12-30
0107c61e54459068bb83f6be2058d65d,2020-01-01
0107c61e54459068bb83f6be2058d65d,2020-01-06
0107c61e54459068bb83f6be2058d65d,2020-03-30
0107c61e54459068bb83f6be2058d65d,2020-04-04
0107c61e54459068bb83f6be2058d65d,2020-04-11
0107c61e54459068bb83f6be2058d65d,2020-04-15
0107c61e54459068bb83f6be2058d65d,2020-04-17
0107c61e54459068bb83f6be2058d65d,2020-04-20
0107c61e54459068bb83f6be2058d65d,2020-05-02
0107c61e54459068bb83f6be2058d65d,2020-05-06
0107c61e54459068bb83f6be2058d65d,2020-05-14
0107c61e54459068bb83f6be2058d65d,2020-05-17
0107c61e54459068bb83f6be2058d65d,2020-05-22
01fb41df0f6c2f69d65db5a38c600b4c,2017-09-29
01fb41df0f6c2f69d65db5a38c600b4c,2017-10-05
01fb41df0f6c2f69d65db5a38c600b4c,2017-10-10
01fb41df0f6c2f69d65db5a38c600b4c,2017-10-17
01fb41df0f6c2f69d65db5a38c600b4c,2018-01-26
01fb41df0f6c2f69d65db5a38c600b4c,2018-02-03
01fb41df0f6c2f69d65db5a38c600b4c,2018-02-07
01fb41df0f6c2f69d65db5a38c600b4c,2018-03-02
031cf9537e5da78c5a69a10cba088c94,2017-11-04
031cf9537e5da78c5a69a10cba088c94,2017-11-06
031cf9537e5da78c5a69a10cba088c94,2017-11-12
031cf9537e5da78c5a69a10cba088c94,2017-11-21
031cf9537e5da78c5a69a10cba088c94,2017-11-30
031cf9537e5da78c5a69a10cba088c94,2017-12-05
031cf9537e5da78c5a69a10cba088c94,2017-12-26
031cf9537e5da78c5a69a10cba088c94,2018-01-07
031cf9537e5da78c5a69a10cba088c94,2018-03-09
031cf9537e5da78c5a69a10cba088c94,2018-03-10
031cf9537e5da78c5a69a10cba088c94,2018-03-11
031cf9537e5da78c5a69a10cba088c94,2018-03-16
031cf9537e5da78c5a69a10cba088c94,2018-03-24
031cf9537e5da78c5a69a10cba088c94,2018-03-26
031cf9537e5da78c5a69a10cba088c94,2018-04-04
031cf9537e5da78c5a69a10cba088c94,2018-04-07
031cf9537e5da78c5a69a10cba088c94,2018-04-14
031cf9537e5da78c5a69a10cba088c94,2018-04-23
031cf9537e5da78c5a69a10cba088c94,2018-04-30
031cf9537e5da78c5a69a10cba088c94,2018-05-03
031cf9537e5da78c5a69a10cba088c94,2018-05-11
