calendar_days,ema_count_total,recency_n_valid_days,recency_mean,baseline28_n_valid_days,baseline28_ema_count,baseline56_n_valid_days,baseline56_ema_count,historical_gate_met,state,baseline_mean,baseline_sd,deviation_z,deviation_pct,meaningful_change,uid,report_date,reason
1378,200,7.0,43920.648496271424,28.0,5.0,56.0,9.0,True,C,71385.74479154676,109221.81055484645,-0.25146164631178275,-38.474202903501336,False,1ff6d7f34acb354430e7323a35ff7703,2021-06-15,
1219,157,7.0,3161.8931259285714,28.0,3.0,49.0,6.0,False,C,14813.953595857996,30101.32098159641,-0.38709465531606924,-78.65598062348027,False,fa394f6d3d077bd5568fc3bc01580806,2021-01-07,
234,35,6.0,5285.347277735001,27.0,4.0,55.0,8.0,True,C,36757.26211230519,107178.61164109045,-0.2936398816207878,-85.62094406926562,False,596df3c263e97eb09d44a8535ec20ffa,2018-04-28,
50,9,6.0,7519.172044329999,28.0,4.0,42.0,8.0,False,C,6501.477276193256,5096.971278805385,0.1996665691189195,15.653285013596529,False,ea716dd032aaa0dcf8bfa36b1811917f,2017-10-26,
1204,205,6.0,3405.3389761800004,26.0,5.0,54.0,11.0,True,C,4987.3176910909615,9090.8935959662,-0.17401795524401636,-31.720030944427517,False,3dad5f11680b432159b65838119ab87e,2020-12-23,
1378,260,6.0,42612.737639089995,28.0,4.0,56.0,9.0,True,C,31364.14863502429,30751.271596654173,0.3657926459629587,35.86448060478972,False,a23be0935798553a76b4e74cfc1740f1,2021-06-15,
971,234,0.0,,0.0,0.0,0.0,0.0,False,B,,,,,,ac70fe1f8115ac361f2023269c011c3e,2020-05-05,partial history: below 28-day comparative gate
1372,239,0.0,,0.0,5.0,0.0,11.0,False,B,,,,,,791c580346256bca5c697d19170a50b5,2021-06-15,partial history: below 28-day comparative gate
1377,294,0.0,,0.0,6.0,0.0,10.0,False,B,,,,,,2b3d267f18830c3c257b382edabef246,2021-06-15,partial history: below 28-day comparative gate
497,37,6.0,3916.3411031466662,23.0,1.0,35.0,2.0,False,B,,,,,,46f1dfeda71a865074859c81bb314fd9,2019-01-16,partial history: below 28-day comparative gate
